Open,High,Low,Close,SMA,EMA,MACD,Signal Line
18.862362,19.042793,18.841593,18.864614,18.3461209,18.517347493411847,0.16369559479608853,0.07718846925083539
18.781532,18.959459,18.775024,18.911161,18.386711549999998,18.577934186733103,0.18298531764443737,0.09834783892955579
18.973974,19.434435,18.971472,19.409409,18.45168905,18.705853388774162,0.23575932480317618,0.12583013610427987
19.21146,19.281031,18.975725,18.994493,18.4780278,18.750259482808907,0.24132105320614272,0.14892831952465246
19.047297,19.297047,19.005756,19.162663,18.516804150000002,18.813706177761382,0.2563437059069713,0.17041139680111625
18.995747,19.343344,18.981482,19.273523,18.562937749999996,18.884447227336555,0.2740358274713586,0.19113628293516474
19.261763,19.48974,19.156656,19.368118,18.60777005,18.958858115438623,0.2923203007486279,0.21137308649785738
19.522774,19.686436,19.508509,19.653904,18.6626875,19.06578825152499,0.3261122008861044,0.23432090937550681
19.479479,19.594595,19.363113,19.58008,18.715778049999997,19.14491005898268,0.3429818639466795,0.2560531002897414
19.563313,19.717216,19.503754,19.537037,18.7876625,19.20523728067765,0.3488565815702387,0.27461379654584084
19.522774,19.653402,19.518768,19.591091,18.86014745,19.264599391342628,0.35379570698391305,0.2904501786334553
19.512762,19.738237,19.463715,19.715216,18.95102585,19.33392502344376,0.36353524163013873,0.30506719123279197
19.704704,19.851351,19.696445,19.842093,19.0530905,19.41210471214472,0.37714432157655153,0.3194826173015439
19.91967,20.195194,19.901901,20.191441,19.181143499999997,19.532002602583994,0.41137698168754255,0.3378614901787437
20.152653,20.244493,19.814566,19.831331,19.29324315,19.57805312526338,0.4047826614703709,0.35124572443706914
19.969971,20.156406,19.800301,19.908157,19.36084825,19.628838336761323,0.40113183324927704,0.3612229461995108
20.001501,20.0513,19.864864,20.012762,19.4177801,19.687903515721118,0.4020447532099638,0.36938730760160143
20.077578,20.23048,19.782032,19.78904,19.464201550000002,19.703462974840946,0.38033152807135906,0.37157615169555297
19.894896,19.918669,19.629629,19.773024,19.5135009,19.71416467101926,0.3577078499363111,0.36880249134370463
19.889891,20.138889,19.797548,20.014515,19.5711836,19.760372413939375,0.3551705425662739,0.36607610158821846
20.047548,20.194944,20.045795,20.050051,19.63045545,19.804938350256396,0.3519698767627837,0.36325485662313156
19.964966,20.1987,19.923674,20.174925,19.693643650000002,19.861859373293875,0.35541263857756533,0.3616864130140184
20.152653,20.591593,20.145145,20.558058,19.7510761,19.968966854325586,0.38462298884752144,0.366273728180719
20.743994,21.024775,20.743242,20.985987,19.8506508,20.125431492121653,0.43726220927159076,0.38047142439889337
21.046797,21.12112,20.740992,20.805305,19.9327829,20.23002741641063,0.4591073396976064,0.396198607458636
20.872372,20.936436,20.76026,20.835836,20.01089855,20.32322873696284,0.47342599926559714,0.4116440858200282
20.883383,20.893894,20.646896,20.808809,20.082933099999998,20.39793339281471,0.47709315420615184,0.42473389949725293
20.813063,21.013514,20.808308,20.891392,20.1448075,20.473850101612445,0.48111713993785443,0.4360105475853733
20.78854,20.818068,20.612362,20.71096,20.2013515,20.510328547518224,0.4643935830047141,0.44168715466924147
20.718218,20.788038,20.578327,20.653402,20.257169750000003,20.532339847900037,0.44140732520234494,0.44163118877586216
20.695444,20.695444,20.455206,20.559059,20.305568150000003,20.536450486684647,0.41084192863122837,0.43547333674693545
20.482983,20.528028,20.353853,20.377878,20.338701250000003,20.51205471950239,0.3677595361195962,0.4219305766214676
20.145145,20.339338,20.056807,20.214966,20.357344899999998,20.46634876265587,0.31681870396809586,0.40090820209079325
20.3013,20.501753,20.181431,20.303303,20.362938,20.44126479917035,0.28034415223722675,0.37679539212008
20.441191,20.458208,20.306307,20.388138,20.390778349999998,20.433091445451836,0.2553398834767222,0.3525042903914085
20.302553,20.443443,20.266518,20.301802,20.4104606,20.412893069228478,0.2259525859181899,0.3271939494967648
20.388889,20.401402,20.261261,20.278028,20.4237239,20.39214459703948,0.19845689027069469,0.3014465376515508
20.330582,20.501251,20.190691,20.261261,20.44733495,20.372008659033405,0.17331552313638454,0.2758203347485176
20.357859,20.370371,20.214966,20.330832,20.475225350000002,20.36567378841288,0.1571925885082308,0.25209478550046027
20.187187,20.195194,20.053303,20.086588,20.478829,20.32273751327244,0.12328543928665425,0.22633291625769908
20.119869,20.154404,19.852352,19.874624,20.47005765,20.25379697276899,0.07840623759696541,0.19674758052555236
19.895145,20.076326,19.851101,20.049801,20.46380145,20.222412976958374,0.056325185132426014,0.16866310144692712
20.133635,20.391142,20.120119,20.346346,20.45321585,20.241479595887856,0.062039344197163615,0.14733834999697443
20.356857,20.375376,20.036787,20.175175,20.41267525,20.231278888828186,0.052154581707174685,0.1283015963390145
20.126375,20.163914,19.802301,19.896646,20.3672423,20.17979690593154,0.021596917856527398,0.1069606606425171
19.671171,19.694445,19.429428,19.595846,20.3052428,20.089958305018996,-0.026585832087494765,0.08025136209651473
19.488237,19.508259,19.229229,19.39064,20.23433435,19.982370873477613,-0.08040258680617285,0.04812057231597722
19.406906,19.613363,19.347097,19.460711,20.1628003,19.90211550832721,-0.11606073267629569,0.015284311317522635
19.592592,19.828579,19.419418,19.774275,20.11596605,19.88244773781533,-0.11766174459532408,-0.01130489986504671
19.841843,19.847347,19.62112,19.77953,20.072272450000003,19.86661423968989,-0.11715602180145623,-0.03247512425232862
19.819571,19.822323,19.592842,19.771021,20.03287055,19.85190758742991,-0.11610346950652328,-0.04920079330316755
19.668419,19.944944,19.444944,19.567818,19.99236755,19.808201497056075,-0.13016562973691848,-0.06539376058991775
