Open,High,Low,Close,SMA,EMA,MACD,Signal Line
14.15,14.21,13.3555,13.638,13.426175,13.527232215470772,0.16196727912699593,0.17411113970297526
13.552,13.797,13.185,13.275,13.44665,13.4884272592445,0.12984861448174456,0.16525863465872911
13.4465,13.4465,13.14,13.25,13.462950000000001,13.451746142437653,0.10121036024991703,0.1524489797769667
13.139,13.234,12.9535,12.999,13.465025,13.382092889754936,0.05759679513666249,0.13347854284890587
13.1,13.4015,13.073,13.3445,13.461100000000002,13.376309368254176,0.05033150286688581,0.11684913485250187
13.258,13.3445,13.0555,13.111,13.450700000000001,13.335492542368918,0.02543896330661255,0.098567100543324
13.205,13.205,12.7555,13.0115,13.435400000000001,13.285647535850623,-0.0022909632811405345,0.0783954877784311
13.07,13.2625,13.0275,13.0975,13.426925,13.256701761104374,-0.017130182536147842,0.059290353715515304
13.16,13.1625,12.83,12.8605,13.4001,13.195747644011393,-0.047467118618721216,0.037938859248668
12.9595,13.008,12.85,12.935,13.365025,13.155632621855794,-0.06475141761653269,0.01740080387562786
13.0765,13.498,13.015,13.4735,13.358950000000002,13.204535295416441,-0.03459807446534313,0.007001028207433663
13.3685,13.5325,13.27,13.462,13.359725000000001,13.244145249967758,-0.011496759182040961,0.003301470729538739
13.3815,13.446,13.1555,13.2545,13.346250000000001,13.245738288434257,-0.009819127445187092,0.0006773510945935726
13.2955,13.5055,13.225,13.4875,13.340324999999998,13.28293239790591,0.0101940498693871,0.0025806908495522784
13.51,13.715,13.3185,13.3205,13.330875,13.288712028997308,0.012435780815343023,0.004551708842710427
13.256,13.474,13.1625,13.297,13.32545,13.28998710145926,0.012175760550034553,0.006076519184175253
13.331,13.3555,13.0805,13.271,13.30535,13.287066008927066,0.00975921178889294,0.0068130577051187914
13.347,13.4345,12.9825,12.9935,13.24505,13.241902007553673,-0.014382063870561623,0.002574033389982709
13.0445,13.102,12.7865,12.968,13.20335,13.1997632371608,-0.035166458602379436,-0.004974065008489721
12.97,13.2915,12.843,13.1625,13.2106,13.194030431443755,-0.03553410167029902,-0.011086072340851582
13.0905,13.35,13.0315,13.2135,13.189374999999998,13.197025749683178,-0.03134881801502054,-0.015138621475685374
13.1635,13.33,13.052,13.287,13.189975,13.210867942039613,-0.021849250273533016,-0.016480747235254903
13.268,13.665,13.207,13.6555,13.210250000000002,13.279272874033518,0.015238436706530578,-0.010136910446897808
13.7,13.834,13.4995,13.7795,13.249275,13.356230893412977,0.05401382181391412,0.002693236005264577
13.788,13.8245,13.5915,13.6895,13.266525000000001,13.407503063657135,0.07659836773207651,0.017474262350626962
13.705,13.74,13.5925,13.694,13.295675,13.45157951540219,0.093778871027137,0.03273518408592897
13.75,13.772,13.575,13.7095,13.330575,13.4912595899557,0.10740714146027841,0.04766957556079886
13.6715,13.6995,13.52,13.562,13.353800000000001,13.502142729962515,0.10509416654082848,0.05915449375680479
13.55,13.87,13.518,13.7065,13.3961,13.533582309968281,0.1136114179111658,0.070045878587677
13.762,13.825,13.632,13.755,13.437100000000001,13.567646569973162,0.12285870695731482,0.08060844426160457
13.4835,13.5,13.1765,13.287,13.427775,13.524470174592675,0.0913703014298548,0.08276081569525462
13.249,13.363,13.0025,13.091,13.409225000000001,13.45778245542457,0.050023313607143294,0.07621331527763237
12.965,13.0745,12.856,12.8945,13.391225,13.371123616128482,0.0013836700012355152,0.061247386222353
12.92,12.975,12.631,12.8205,13.357874999999998,13.286412290570254,-0.042643215103122856,0.040469265957257826
12.9025,12.988,12.7275,12.864,13.33505,13.221425784328677,-0.0731811653688954,0.017739179692027183
12.8055,12.85,12.634,12.6695,13.303674999999998,13.136514125201188,-0.11178860600026752,-0.008166377446431759
12.7275,12.8885,12.6035,12.8875,13.2845,13.09820425978562,-0.12337234317869061,-0.03120757059288353
12.929,12.9715,12.725,12.801,13.274875,13.052480527510909,-0.13794225301160168,-0.05255450707662716
12.8525,13.074,12.814,13.0155,13.27725,13.046791215586154,-0.13067432193468775,-0.06817847004823929
12.9375,13.2965,12.895,13.265,13.282375000000002,13.080361797803668,-0.10358777397488872,-0.07526033083356919
13.291,13.369,13.203,13.3245,13.287925000000001,13.11792152121849,-0.0764391933912858,-0.07549610334511252
13.349,13.37,13.0505,13.0805,13.277600000000001,13.112164364107953,-0.07376222349369144,-0.07514932737482831
13.12,13.2945,13.0275,13.166,13.253125,13.120446769629806,-0.06400377444578886,-0.07292021678902041
13.106,13.1835,12.8875,12.9515,13.211724999999998,13.09445495891753,-0.0727399893006151,-0.07288417129133935
12.9615,13.0205,12.806,12.954,13.17495,13.072846503699449,-0.07855622613216617,-0.07401858225950472
12.786,12.809,12.6835,12.774,13.12895,13.026870118514918,-0.096576853551392,-0.07853023651788218
12.796,12.984,12.7815,12.9475,13.09085,13.014659331051085,-0.09575453197327555,-0.08197509560896087
12.9425,13.1305,12.85,13.057,13.0656,13.021173280120149,-0.08528400045796403,-0.08263687657876151
13.089,13.299,12.966,13.2385,13.0422,13.054608160101663,-0.061630062655847695,-0.07843551379417875
13.237,13.5485,13.237,13.4925,13.029075,13.121976135470637,-0.022133330045576827,-0.06717507704445837
13.506,13.6635,13.351,13.6435,13.046899999999999,13.202210576167463,0.02110921920800557,-0.049518217793965584
13.554,13.756,13.355,13.386,13.06165,13.2304858721417,0.034206837919979804,-0.03277320665117651
13.4655,13.64,13.403,13.617,13.097775000000002,13.2899495841199,0.06250603391460352,-0.013717358538020502
13.54,13.5425,13.2125,13.37,13.12525,13.302265032716837,0.06426174548971275,0.001878462267526148
